7/30/2014,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 13-14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
165-Fayette County                                                                                  ,015-Beaumont Middle School                                                                          ,0,0,0,0,0,0,355,408,375,0,0,0,0,0,1138
165-Fayette County                                                                                  ,018-Scapa At Bluegrass                                                                              ,0,0,0,0,53,54,56,56,56,0,0,0,0,0,275
165-Fayette County                                                                                  ,021-Martin L King Acad for Excellence Alt                                                           ,0,0,0,0,0,0,1,7,15,37,23,24,11,0,118
165-Fayette County                                                                                  ,025-Crawford Middle School                                                                          ,0,0,0,0,0,0,167,164,131,0,0,0,0,0,462
165-Fayette County                                                                                  ,030-Bryan Station Middle School                                                                     ,0,0,0,0,0,0,207,189,172,0,0,0,0,0,568
165-Fayette County                                                                                  ,032-Cassidy Elementary School                                                                       ,126,119,115,122,104,102,0,0,0,0,0,0,0,0,688
165-Fayette County                                                                                  ,034-Edythe Jones Hayes Middle School                                                                ,0,0,0,0,0,0,385,339,350,0,0,0,0,0,1074
165-Fayette County                                                                                  ,035-Deep Springs Elementary School                                                                  ,116,97,95,95,86,80,0,0,0,0,0,0,0,0,569
165-Fayette County                                                                                  ,036-Dixie Elementary Magnet School                                                                  ,96,90,93,92,94,95,0,0,0,0,0,0,0,0,560
165-Fayette County                                                                                  ,037-Garden Springs Elementary School                                                                ,86,91,98,96,92,99,0,0,0,0,0,0,0,0,562
165-Fayette County                                                                                  ,038-Harrison Elementary School                                                                      ,83,82,76,75,59,79,0,0,0,0,0,0,0,0,454
165-Fayette County                                                                                  ,039-Henry Clay High School                                                                          ,0,0,0,0,0,0,0,0,1,658,666,570,495,3,2393
165-Fayette County                                                                                  ,042-Martin Luther King Credit Recovery                                                              ,0,0,0,0,0,0,0,0,0,6,14,26,92,0,138
165-Fayette County                                                                                  ,045-Athens-Chilesburg Elementary                                                                    ,120,135,129,145,137,106,0,0,0,0,0,0,0,0,772
165-Fayette County                                                                                  ,046-Booker T Washington Intermediate Academy                                                        ,0,0,0,85,98,94,0,0,0,0,0,0,0,0,277
165-Fayette County                                                                                  ,051-ABLE                                                                                            ,0,1,1,4,3,16,0,0,0,0,0,0,0,0,25
165-Fayette County                                                                                  ,052-Rosa Parks Elementary School                                                                    ,108,112,118,146,131,139,0,0,0,0,0,0,0,0,754
165-Fayette County                                                                                  ,054-The Stables                                                                                     ,0,0,0,0,0,0,0,1,6,7,4,4,5,1,28
165-Fayette County                                                                                  ,056-William Wells Brown Elementary                                                                  ,78,78,72,60,67,52,0,0,0,0,0,0,0,0,407
165-Fayette County                                                                                  ,057-Liberty Elementary                                                                              ,148,137,143,139,126,134,0,0,0,0,0,0,0,0,827
165-Fayette County                                                                                  ,058-Sandersville Elementary                                                                         ,116,116,119,136,120,112,0,0,0,0,0,0,0,0,719
165-Fayette County                                                                                  ,059-Wellington Elementary                                                                           ,75,112,134,96,91,90,0,0,0,0,0,0,0,0,598
165-Fayette County                                                                                  ,060-Lafayette High School                                                                           ,0,0,0,0,0,0,0,0,0,615,509,482,439,8,2053
165-Fayette County                                                                                  ,062-Lansdowne Elementary School                                                                     ,142,134,132,123,105,110,0,0,0,0,0,0,0,0,746
165-Fayette County                                                                                  ,065-Leestown Middle School                                                                          ,0,0,0,0,0,0,221,271,199,0,0,0,0,0,691
165-Fayette County                                                                                  ,066-Family Care Center                                                                              ,0,0,0,0,0,0,0,0,0,3,8,6,9,0,26
165-Fayette County                                                                                  ,067-Lexington Trad Magnet School                                                                    ,0,0,0,0,0,0,205,229,213,0,0,0,0,0,647
165-Fayette County                                                                                  ,072-Madeline M Breckinridge Elem School                                                             ,133,131,112,90,101,93,0,0,0,0,0,0,0,0,660
165-Fayette County                                                                                  ,074-Maxwell Spanish Immersion Elem School                                                           ,103,98,98,82,80,66,0,0,0,0,0,0,0,0,527
165-Fayette County                                                                                  ,076-Morton Middle School                                                                            ,0,0,0,0,0,0,254,267,255,0,0,0,0,0,776
165-Fayette County                                                                                  ,077-Northern Elementary School                                                                      ,105,94,87,70,66,68,0,0,0,0,0,0,0,0,490
165-Fayette County                                                                                  ,080-Picadome Elementary School                                                                      ,116,86,96,68,74,59,0,0,0,0,0,0,0,0,499
165-Fayette County                                                                                  ,081-Southern Elementary School                                                                      ,131,104,109,121,109,121,0,0,0,0,0,0,0,0,695
165-Fayette County                                                                                  ,082-Squires Elementary School                                                                       ,102,94,93,103,100,104,0,0,0,0,0,0,0,0,596
165-Fayette County                                                                                  ,085-Stonewall Elementary School                                                                     ,107,105,121,97,122,105,0,0,0,0,0,0,0,0,657
165-Fayette County                                                                                  ,090-Russell Cave Elementary School                                                                  ,57,52,50,53,46,55,0,0,0,0,0,0,0,0,313
165-Fayette County                                                                                  ,091-Booker T Washington Primary Academy                                                             ,125,133,111,0,0,0,0,0,0,0,0,0,0,0,369
165-Fayette County                                                                                  ,095-Tates Creek Elementary School                                                                   ,111,81,85,102,124,100,0,0,0,0,0,0,0,0,603
