8/1/2013,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 12-13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
001-Adair County                                                                                    ,010-Adair County High School                                                                        ,0,0,0,0,0,0,0,0,0,202,175,198,190,1,766
001-Adair County                                                                                    ,012-Adair Youth Development Center                                                                  ,0,0,0,0,0,0,0,0,2,6,14,15,9,0,46
001-Adair County                                                                                    ,013-John Adair Intermediate School                                                                  ,0,0,0,118,135,121,0,0,0,0,0,0,0,0,374
001-Adair County                                                                                    ,014-Adair County Middle School                                                                      ,0,0,0,0,0,0,0,216,183,0,0,0,0,0,399
001-Adair County                                                                                    ,016-Adair County Elementary School                                                                  ,73,69,65,58,84,65,186,0,0,0,0,0,0,0,600
001-Adair County                                                                                    ,095-Colonel William Casey Elementary                                                                ,149,134,133,1,0,0,0,0,0,0,0,0,0,0,417
TOTALS for Adair County                                                                             ,                                                                                                    ,222,203,198,177,219,186,186,216,185,208,189,213,199,1,2602
005-Allen County                                                                                    ,010-Allen County Primary Center                                                                     ,250,251,227,207,0,0,0,0,0,0,0,0,0,0,935
005-Allen County                                                                                    ,015-James E Bazzell Middle School                                                                   ,0,0,0,0,0,0,0,254,229,0,0,0,0,0,483
005-Allen County                                                                                    ,020-Allen County-Scottsville High School                                                            ,0,0,0,0,0,0,0,0,0,225,220,202,201,1,849
005-Allen County                                                                                    ,060-Allen County Intermediate Center                                                                ,0,0,0,0,255,223,244,0,0,0,0,0,0,0,722
TOTALS for Allen County                                                                             ,                                                                                                    ,250,251,227,207,255,223,244,254,229,225,220,202,201,1,2989
006-Anchorage Independent                                                                           ,010-Anchorage Independent Public School                                                             ,31,48,33,52,44,44,40,38,52,0,0,0,0,0,382
TOTALS for Anchorage Independent                                                                    ,                                                                                                    ,31,48,33,52,44,44,40,38,52,0,0,0,0,0,382
011-Anderson County                                                                                 ,020-Anderson County High School                                                                     ,0,0,0,0,0,0,0,0,0,318,312,314,271,0,1215
011-Anderson County                                                                                 ,022-Robert B. Turner Elementary School                                                              ,73,98,98,100,90,92,0,0,0,0,0,0,0,0,551
011-Anderson County                                                                                 ,025-Anderson County Middle School                                                                   ,0,0,0,0,0,0,280,304,300,0,0,0,0,0,884
011-Anderson County                                                                                 ,050-Saffell Street Elementary School                                                                ,0,106,83,111,77,84,0,0,0,0,0,0,0,0,461
011-Anderson County                                                                                 ,110-Emma B. Ward Elementary School                                                                  ,0,101,96,107,108,69,0,0,0,0,0,0,0,0,481
011-Anderson County                                                                                 ,120-Ezra Sparrow Early Childhood Center                                                             ,214,0,0,0,0,0,0,0,0,0,0,0,0,0,214
TOTALS for Anderson County                                                                          ,                                                                                                    ,287,305,277,318,275,245,280,304,300,318,312,314,271,0,3806
012-Ashland Independent                                                                             ,010-Paul G. Blazer High School                                                                      ,0,0,0,0,0,0,0,0,0,247,217,229,222,2,917
012-Ashland Independent                                                                             ,011-Ashland Central School                                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012-Ashland Independent                                                                             ,050-George M. Verity Middle School                                                                  ,0,0,0,0,0,0,0,221,252,0,0,0,0,0,473
012-Ashland Independent                                                                             ,070-Crabbe Elementary School                                                                        ,70,79,58,58,54,47,50,0,0,0,0,0,0,0,416
012-Ashland Independent                                                                             ,080-Hager Elementary School                                                                         ,48,52,40,48,49,52,54,0,0,0,0,0,0,0,343
012-Ashland Independent                                                                             ,100-Oakview Elementary School                                                                       ,72,68,39,71,70,54,73,0,0,0,0,0,0,0,447
012-Ashland Independent                                                                             ,110-Poage Elementary School                                                                         ,43,48,41,36,26,32,30,0,0,0,0,0,0,0,256
012-Ashland Independent                                                                             ,130-Charles Russell Elementary School                                                               ,49,68,39,49,43,32,51,0,0,0,0,0,0,0,331
TOTALS for Ashland Independent                                                                      ,                                                                                                    ,282,315,217,262,242,217,258,221,252,247,217,229,222,2,3183
013-Augusta Independent                                                                             ,011-Augusta Independent School                                                                      ,26,21,24,20,20,20,19,20,18,28,27,31,24,0,298
TOTALS for Augusta Independent                                                                      ,                                                                                                    ,26,21,24,20,20,20,19,20,18,28,27,31,24,0,298
015-Ballard County                                                                                  ,005-Ballard County Middle School                                                                    ,0,0,0,0,0,0,120,109,116,0,0,0,0,0,345
015-Ballard County                                                                                  ,010-Ballard Memorial High School                                                                    ,0,0,0,0,0,0,0,0,0,108,119,104,92,1,424
015-Ballard County                                                                                  ,050-Ballard County Elementary School                                                                ,91,88,87,107,107,96,0,0,0,0,0,0,0,0,576
TOTALS for Ballard County                                                                           ,                                                                                                    ,91,88,87,107,107,96,120,109,116,108,119,104,92,1,1345
016-Barbourville Independent                                                                        ,011-Barbourville City School                                                                        ,59,48,36,55,51,59,53,54,61,55,41,43,39,0,654
TOTALS for Barbourville Independent                                                                 ,                                                                                                    ,59,48,36,55,51,59,53,54,61,55,41,43,39,0,654
017-Bardstown Independent                                                                           ,010-Bardstown Elementary School                                                                     ,0,0,0,245,219,196,0,0,0,0,0,0,0,0,660
017-Bardstown Independent                                                                           ,012-Bardstown Primary School                                                                        ,247,235,221,0,0,0,0,0,0,0,0,0,0,0,703
017-Bardstown Independent                                                                           ,020-Bardstown High School                                                                           ,0,0,0,0,0,0,0,0,6,193,167,146,130,1,643
017-Bardstown Independent                                                                           ,030-Bardstown Middle School                                                                         ,0,0,0,0,0,5,176,183,183,0,0,0,0,0,547
TOTALS for Bardstown Independent                                                                    ,                                                                                                    ,247,235,221,245,219,201,176,183,189,193,167,146,130,1,2553
021-Barren County                                                                                   ,010-Austin Tracy Elementary School                                                                  ,30,32,38,43,35,33,34,0,0,0,0,0,0,0,245
021-Barren County                                                                                   ,011-Barren County Day Treatment Ctr                                                                 ,0,0,0,0,0,0,0,0,8,26,4,9,7,0,54
021-Barren County                                                                                   ,012-BAVEL                                                                                           ,0,0,0,0,0,0,5,9,9,16,29,28,31,0,127
021-Barren County                                                                                   ,014-North Jackson Elementary                                                                        ,97,85,83,76,35,52,58,0,0,0,0,0,0,0,486
021-Barren County                                                                                   ,027-Barren County High School                                                                       ,0,0,0,0,0,0,0,0,0,337,320,348,325,1,1331
021-Barren County                                                                                   ,035-Eastern Elementary School                                                                       ,51,35,64,52,41,52,53,0,0,0,0,0,0,0,348
021-Barren County                                                                                   ,050-Barren County Middle School                                                                     ,0,0,0,0,0,0,0,382,330,0,0,0,0,0,712
021-Barren County                                                                                   ,080-Hiseville Elementary School                                                                     ,33,31,37,23,37,32,41,0,0,0,0,0,0,0,234
021-Barren County                                                                                   ,130-Park City Elementary School                                                                     ,44,62,60,46,57,39,60,0,0,0,0,0,0,0,368
021-Barren County                                                                                   ,150-Red Cross Elementary School                                                                     ,118,104,85,102,85,87,79,0,0,0,0,0,0,0,660
021-Barren County                                                                                   ,180-Temple Hill Elementary School                                                                   ,48,54,35,38,40,46,58,0,0,0,0,0,0,0,319
TOTALS for Barren County                                                                            ,                                                                                                    ,421,403,402,380,330,341,388,391,347,379,353,385,363,1,4884
025-Bath County                                                                                     ,014-Crossroads Elementary School                                                                    ,72,76,72,76,64,85,0,0,0,0,0,0,0,0,445
025-Bath County                                                                                     ,020-Bath County Middle School                                                                       ,0,0,0,0,0,0,154,164,168,0,0,0,0,0,486
025-Bath County                                                                                     ,030-Owingsville Elementary School                                                                   ,102,104,83,97,89,67,0,0,0,0,0,0,0,0,542
025-Bath County                                                                                     ,040-Bath County High School                                                                         ,0,0,0,0,0,0,0,0,0,175,158,156,147,1,637
TOTALS for Bath County                                                                              ,                                                                                                    ,174,180,155,173,153,152,154,164,168,175,158,156,147,1,2110
026-Beechwood Independent                                                                           ,010-Beechwood Elementary School                                                                     ,79,74,86,94,86,106,90,0,0,0,0,0,0,0,615
026-Beechwood Independent                                                                           ,020-Beechwood High School                                                                           ,0,0,0,0,0,0,0,106,109,102,102,91,84,2,596
