8/6/2010,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 09-10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
001-Adair County                                                                                    ,010-Adair County High School                                                                        ,0,0,0,0,0,0,0,0,0,212,198,204,183,0,797
001-Adair County                                                                                    ,012-Adair Youth Development Center                                                                  ,0,0,0,0,0,1,0,2,3,21,26,30,6,0,89
001-Adair County                                                                                    ,013-John Adair Intermediate School                                                                  ,0,0,0,106,124,122,0,0,0,0,0,0,0,0,352
001-Adair County                                                                                    ,014-Adair County Middle School                                                                      ,0,0,0,0,0,0,0,194,197,0,0,0,0,0,391
001-Adair County                                                                                    ,016-Adair County Elementary School                                                                  ,65,70,62,65,70,74,202,0,0,0,0,0,0,0,608
001-Adair County                                                                                    ,095-Colonel William Casey Elementary                                                                ,128,147,122,0,0,0,0,0,0,0,0,0,0,0,397
TOTALS for Adair County                                                                             ,                                                                                                    ,193,217,184,171,194,197,202,196,200,233,224,234,189,0,2634
005-Allen County                                                                                    ,010-Allen County Primary Center                                                                     ,200,242,210,257,0,0,0,0,0,0,0,0,0,0,909
005-Allen County                                                                                    ,015-James E Bazzell Middle School                                                                   ,0,0,0,0,0,0,0,228,227,0,0,0,0,0,455
005-Allen County                                                                                    ,020-Allen County-Scottsville High School                                                            ,0,0,0,0,0,0,0,0,0,233,257,238,204,0,932
005-Allen County                                                                                    ,060-Allen County Intermediate Center                                                                ,0,0,0,0,265,235,232,0,0,0,0,0,0,0,732
TOTALS for Allen County                                                                             ,                                                                                                    ,200,242,210,257,265,235,232,228,227,233,257,238,204,0,3028
006-Anchorage Independent                                                                           ,010-Anchorage Independent Public School                                                             ,35,38,34,37,46,53,40,49,48,0,0,0,0,0,380
TOTALS for Anchorage Independent                                                                    ,                                                                                                    ,35,38,34,37,46,53,40,49,48,0,0,0,0,0,380
011-Anderson County                                                                                 ,020-Anderson County High School                                                                     ,0,0,0,0,0,0,0,0,0,332,303,324,278,1,1238
