8/6/2010,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 09-10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
011-Anderson County                                                                                 ,022-Robert B. Turner Elementary School                                                              ,0,97,93,84,100,87,0,0,0,0,0,0,0,0,461
011-Anderson County                                                                                 ,025-Anderson County Middle School                                                                   ,0,0,0,0,0,0,275,319,333,0,0,0,0,0,927
011-Anderson County                                                                                 ,050-Saffell Street Elementary School                                                                ,0,103,86,92,91,105,0,0,0,0,0,0,0,0,477
011-Anderson County                                                                                 ,110-Emma B. Ward Elementary School                                                                  ,0,107,80,105,102,103,0,0,0,0,0,0,0,0,497
011-Anderson County                                                                                 ,120-Anderson County Early Childhood Center                                                          ,313,0,0,0,0,0,0,0,0,0,0,0,0,0,313
TOTALS for Anderson County                                                                          ,                                                                                                    ,313,307,259,281,293,295,275,319,333,332,303,324,278,1,3913
012-Ashland Independent                                                                             ,010-Paul G Blazer High School                                                                       ,0,0,0,0,0,0,0,0,0,257,264,229,223,0,973
012-Ashland Independent                                                                             ,011-Ashland Central School                                                                          ,0,0,0,0,0,0,0,0,1,4,4,0,1,0,10
012-Ashland Independent                                                                             ,050-George M Verity Middle School                                                                   ,0,0,0,0,0,0,0,233,243,0,0,0,0,0,476
012-Ashland Independent                                                                             ,070-Crabbe Elementary School                                                                        ,47,44,39,38,34,28,40,0,0,0,0,0,0,0,270
012-Ashland Independent                                                                             ,080-Hager Elementary School                                                                         ,45,47,39,52,35,51,46,0,0,0,0,0,0,0,315
012-Ashland Independent                                                                             ,090-Hatcher Elementary School                                                                       ,40,37,26,30,26,23,25,0,0,0,0,0,0,0,207
012-Ashland Independent                                                                             ,100-Oakview Elementary School                                                                       ,74,65,53,70,59,72,75,0,0,0,0,0,0,0,468
012-Ashland Independent                                                                             ,110-Poage Elementary School                                                                         ,28,24,32,25,25,26,31,0,0,0,0,0,0,0,191
012-Ashland Independent                                                                             ,130-Charles Russell Elementary School                                                               ,54,50,33,46,46,42,49,0,0,0,0,0,0,0,320
TOTALS for Ashland Independent                                                                      ,                                                                                                    ,288,267,222,261,225,242,266,233,244,261,268,229,224,0,3230
013-Augusta Independent                                                                             ,011-Augusta Independent School                                                                      ,14,26,17,22,18,18,19,29,31,27,24,30,27,0,302
TOTALS for Augusta Independent                                                                      ,                                                                                                    ,14,26,17,22,18,18,19,29,31,27,24,30,27,0,302
015-Ballard County                                                                                  ,005-Ballard County Middle School                                                                    ,0,0,0,0,0,0,104,122,118,0,0,0,0,0,344
015-Ballard County                                                                                  ,010-Ballard Memorial High School                                                                    ,0,0,0,0,0,0,0,0,0,103,110,101,94,0,408
015-Ballard County                                                                                  ,050-Ballard County Elementary School                                                                ,102,107,97,112,100,116,0,0,0,0,0,0,0,0,634
TOTALS for Ballard County                                                                           ,                                                                                                    ,102,107,97,112,100,116,104,122,118,103,110,101,94,0,1386
016-Barbourville Independent                                                                        ,011-Barbourville City School                                                                        ,43,53,57,52,46,60,48,44,40,51,61,52,32,0,639
TOTALS for Barbourville Independent                                                                 ,                                                                                                    ,43,53,57,52,46,60,48,44,40,51,61,52,32,0,639
017-Bardstown Independent                                                                           ,010-Bardstown Elementary School                                                                     ,0,0,0,211,196,194,0,0,0,0,0,0,0,0,601
017-Bardstown Independent                                                                           ,012-Bardstown Primary School                                                                        ,283,222,221,0,0,0,0,0,0,0,0,0,0,0,726
017-Bardstown Independent                                                                           ,020-Bardstown High School                                                                           ,0,0,0,0,0,0,0,0,4,186,171,108,117,0,586
017-Bardstown Independent                                                                           ,030-Bardstown Middle School                                                                         ,0,0,0,0,0,6,195,182,172,0,0,0,0,0,555
TOTALS for Bardstown Independent                                                                    ,                                                                                                    ,283,222,221,211,196,200,195,182,176,186,171,108,117,0,2468
021-Barren County                                                                                   ,010-Austin Tracy Elementary School                                                                  ,40,32,34,33,34,37,28,0,0,0,0,0,0,0,238
021-Barren County                                                                                   ,011-Barren County Day Treatment Ctr                                                                 ,0,0,0,0,0,0,0,1,5,20,13,6,5,0,50
021-Barren County                                                                                   ,012-BAVEL                                                                                           ,0,0,0,0,0,0,0,3,6,11,16,12,20,0,68
021-Barren County                                                                                   ,014-North Jackson Elementary                                                                        ,73,27,43,45,50,45,39,0,0,0,0,0,0,0,322
021-Barren County                                                                                   ,027-Barren County High School                                                                       ,0,0,0,0,0,0,0,0,0,375,383,327,302,2,1389
021-Barren County                                                                                   ,035-Eastern Elementary School                                                                       ,53,46,46,53,56,38,50,0,0,0,0,0,0,0,342
021-Barren County                                                                                   ,050-Barren County Middle School                                                                     ,0,0,0,0,0,0,0,318,383,0,0,0,0,0,701
021-Barren County                                                                                   ,080-Hiseville Elementary School                                                                     ,31,40,36,45,46,32,50,0,0,0,0,0,0,0,280
021-Barren County                                                                                   ,130-Park City Elementary School                                                                     ,43,61,39,61,54,51,43,0,0,0,0,0,0,0,352
021-Barren County                                                                                   ,150-Red Cross Elementary School                                                                     ,111,99,69,86,89,78,101,0,0,0,0,0,0,0,633
021-Barren County                                                                                   ,180-Temple Hill Elementary School                                                                   ,41,40,50,56,46,47,39,0,0,0,0,0,0,0,319
TOTALS for Barren County                                                                            ,                                                                                                    ,392,345,317,379,375,328,350,322,394,406,412,345,327,2,4694
025-Bath County                                                                                     ,014-Crossroads Elementary School                                                                    ,83,63,91,71,73,71,0,0,0,0,0,0,0,0,452
025-Bath County                                                                                     ,020-Bath County Middle School                                                                       ,0,0,0,0,0,0,152,155,151,0,0,0,0,0,458
025-Bath County                                                                                     ,030-Owingsville Elementary School                                                                   ,94,87,66,79,94,89,0,0,0,0,0,0,0,0,509
025-Bath County                                                                                     ,040-Bath County High School                                                                         ,0,0,0,0,0,0,0,0,0,180,160,138,136,1,615
TOTALS for Bath County                                                                              ,                                                                                                    ,177,150,157,150,167,160,152,155,151,180,160,138,136,1,2034
026-Beechwood Independent                                                                           ,010-Beechwood Elementary School                                                                     ,66,68,86,74,105,94,90,0,0,0,0,0,0,0,583
026-Beechwood Independent                                                                           ,020-Beechwood High School                                                                           ,0,0,0,0,0,0,0,90,93,95,96,83,72,0,529
TOTALS for Beechwood Independent                                                                    ,                                                                                                    ,66,68,86,74,105,94,90,90,93,95,96,83,72,0,1112
031-Bell County                                                                                     ,012-Bell Central School Center                                                                      ,52,61,51,70,70,75,65,73,75,0,0,0,0,0,592
031-Bell County                                                                                     ,013-Page School Center                                                                              ,53,52,53,47,49,51,52,64,57,0,0,0,0,0,478
031-Bell County                                                                                     ,040-Bell County High School                                                                         ,0,0,0,0,0,0,0,0,0,253,209,195,183,0,840
031-Bell County                                                                                     ,180-Frakes School Center                                                                            ,19,26,21,11,19,10,22,15,18,0,0,0,0,0,161
031-Bell County                                                                                     ,250-Lone Jack School Center                                                                         ,27,29,28,34,22,20,25,33,22,0,0,0,0,0,240
031-Bell County                                                                                     ,340-Recovery/Alt School/Day Treatment                                                               ,0,0,0,0,0,0,1,1,3,13,18,9,6,0,51
031-Bell County                                                                                     ,345-Right Fork School Center                                                                        ,17,32,24,32,27,26,27,19,31,0,0,0,0,0,235
031-Bell County                                                                                     ,390-Yellow Creek School Center                                                                      ,60,63,56,63,57,62,35,36,53,0,0,0,0,0,485
TOTALS for Bell County                                                                              ,                                                                                                    ,228,263,233,257,244,244,227,241,259,266,227,204,189,0,3082
032-Bellevue Independent                                                                            ,010-Bellevue High School                                                                            ,0,0,0,0,0,0,0,64,61,67,63,50,59,0,364
032-Bellevue Independent                                                                            ,020-Grandview Elementary School                                                                     ,60,57,53,54,59,71,72,0,0,0,0,0,0,0,426
TOTALS for Bellevue Independent                                                                     ,                                                                                                    ,60,57,53,54,59,71,72,64,61,67,63,50,59,0,790
034-Berea Independent                                                                               ,010-Berea Community Elementary School                                                               ,79,84,73,89,88,100,0,0,0,0,0,0,0,0,513
034-Berea Independent                                                                               ,015-Berea Community Middle School                                                                   ,0,0,0,0,0,0,100,80,84,0,0,0,0,0,264
034-Berea Independent                                                                               ,020-Berea Community High School                                                                     ,0,0,0,0,0,0,0,0,0,88,90,86,68,0,332
TOTALS for Berea Independent                                                                        ,                                                                                                    ,79,84,73,89,88,100,100,80,84,88,90,86,68,0,1109
035-Boone County                                                                                    ,005-A M Yealey Elementary School                                                                    ,103,97,108,119,120,122,0,0,0,0,0,0,0,0,669
035-Boone County                                                                                    ,006-Erpenbeck Elementary School                                                                     ,150,144,153,167,162,146,0,0,0,0,0,0,0,0,922
035-Boone County                                                                                    ,008-North Pointe Elementary School                                                                  ,182,200,184,190,148,173,0,0,0,0,0,0,0,0,1077
035-Boone County                                                                                    ,010-Camp Ernst Middle School                                                                        ,0,0,0,0,0,0,312,300,292,0,0,0,0,0,904
035-Boone County                                                                                    ,011-Shirley Mann Elementary                                                                         ,122,148,145,166,145,162,0,0,0,0,0,0,0,0,888
035-Boone County                                                                                    ,015-Randall K. Cooper High School                                                                   ,0,0,0,0,0,0,0,0,0,286,234,235,197,0,952
035-Boone County                                                                                    ,020-Rector A. Jones Middle School                                                                   ,0,0,0,0,0,0,223,219,219,0,0,0,0,0,661
035-Boone County                                                                                    ,030-Boone County High School                                                                        ,0,0,0,0,0,0,0,0,0,432,405,400,348,4,1589
035-Boone County                                                                                    ,040-Burlington Elementary School                                                                    ,126,156,152,183,145,179,0,0,0,0,0,0,0,0,941
035-Boone County                                                                                    ,041-Charles H. Kelly Elementary School                                                              ,42,33,36,41,47,51,0,0,0,0,0,0,0,0,250
035-Boone County                                                                                    ,043-Conner Middle School                                                                            ,0,0,0,0,0,0,371,298,331,0,0,0,0,0,1000
035-Boone County                                                                                    ,045-Conner High School                                                                              ,0,0,0,0,0,0,0,0,0,367,302,321,265,3,1258
035-Boone County                                                                                    ,050-Florence Elementary School                                                                      ,107,104,105,111,92,83,0,0,0,0,0,0,0,0,602
035-Boone County                                                                                    ,055-Chester Goodridge Elementary School                                                             ,137,145,132,179,147,143,0,0,0,0,0,0,0,0,883
035-Boone County                                                                                    ,065-Hillard Collins Elementary School                                                               ,91,131,106,115,113,97,0,0,0,0,0,0,0,0,653
035-Boone County                                                                                    ,071-Larry A. Ryle High School                                                                       ,0,0,0,0,0,0,0,0,0,450,400,370,347,0,1567
035-Boone County                                                                                    ,075-Gray Middle School                                                                              ,0,0,0,0,0,0,349,325,333,0,0,0,0,0,1007
035-Boone County                                                                                    ,080-New Haven Elementary School                                                                     ,102,120,119,116,137,128,0,0,0,0,0,0,0,0,722
035-Boone County                                                                                    ,081-Ockerman Elementary School                                                                      ,148,123,167,115,117,90,0,0,0,0,0,0,0,0,760
035-Boone County                                                                                    ,083-Stephens Elementary School                                                                      ,205,217,205,220,214,184,0,0,0,0,0,0,0,0,1245
035-Boone County                                                                                    ,085-Ockerman Middle School                                                                          ,0,0,0,0,0,0,336,254,269,0,0,0,0,0,859
TOTALS for Boone County                                                                             ,                                                                                                    ,1515,1618,1612,1722,1587,1558,1591,1396,1444,1535,1341,1326,1157,7,19409
041-Bourbon County                                                                                  ,010-BOURBON CENTRAL ELEMENTARY SCHOOL                                                               ,98,91,87,97,89,99,0,0,0,0,0,0,0,0,561
041-Bourbon County                                                                                  ,030-CANE RIDGE ELEMENTARY SCHOOL                                                                    ,58,71,68,82,77,70,0,0,0,0,0,0,0,0,426
041-Bourbon County                                                                                  ,090-NORTH MIDDLETOWN ELEMENTARY SCHOOL                                                              ,31,22,32,29,32,34,0,0,0,0,0,0,0,0,180
041-Bourbon County                                                                                  ,110-Bourbon County High School                                                                      ,0,0,0,0,0,0,0,0,0,259,208,183,174,2,826
041-Bourbon County                                                                                  ,120-Bourbon County Middle School                                                                    ,0,0,0,0,0,0,198,201,230,0,0,0,0,0,629
TOTALS for Bourbon County                                                                           ,                                                                                                    ,187,184,187,208,198,203,198,201,230,259,208,183,174,2,2622
042-Bowling Green Independent                                                                       ,010-Dishman McGinnis Elementary School                                                              ,48,58,55,54,49,49,0,0,0,0,0,0,0,0,313
042-Bowling Green Independent                                                                       ,011-Childrens Crisis Stabilization Uni                                                              ,0,0,0,0,0,1,0,0,0,1,2,3,2,0,9
042-Bowling Green Independent                                                                       ,013-Juvenile Justice                                                                                ,0,0,0,0,0,0,0,1,1,33,33,7,7,0,82
042-Bowling Green Independent                                                                       ,015-Group Effort                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042-Bowling Green Independent                                                                       ,057-Parker-Bennett-Curry School                                                                     ,85,73,71,67,67,65,0,0,0,0,0,0,0,0,428
042-Bowling Green Independent                                                                       ,060-Potter Gray Elementary                                                                          ,79,75,77,75,76,79,0,0,0,0,0,0,0,0,461
042-Bowling Green Independent                                                                       ,065-Bowling Green Junior High                                                                       ,0,0,0,0,0,0,292,306,298,0,0,0,0,0,896
042-Bowling Green Independent                                                                       ,070-Bowling Green High School                                                                       ,0,0,0,0,0,0,0,0,3,330,278,244,250,0,1105
042-Bowling Green Independent                                                                       ,080-T C Cherry Elementary School                                                                    ,42,49,40,56,45,37,0,0,0,0,0,0,0,0,269
042-Bowling Green Independent                                                                       ,090-W R McNeill Elementary School                                                                   ,78,74,67,65,60,70,0,0,0,0,0,0,0,0,414
042-Bowling Green Independent                                                                       ,098-11th Street Alternative School                                                                  ,0,0,0,0,0,0,0,0,0,13,4,7,2,0,26
TOTALS for Bowling Green Independent                                                                ,                                                                                                    ,332,329,310,317,297,301,292,307,302,377,317,261,261,0,4003
045-Boyd County                                                                                     ,010-Boyd County High School                                                                         ,0,0,0,0,0,0,2,0,1,243,229,244,196,2,917
045-Boyd County                                                                                     ,020-Cannonsburg Elementary School                                                                   ,56,57,50,53,47,38,0,0,0,0,0,0,0,0,301
045-Boyd County                                                                                     ,035-Boyd County Middle School                                                                       ,0,0,0,0,4,1,235,259,245,0,0,0,0,0,744
045-Boyd County                                                                                     ,080-Summit Elementary School                                                                        ,92,107,92,96,78,59,0,0,0,0,0,0,0,0,524
045-Boyd County                                                                                     ,085-Ramey-Estep High School                                                                         ,0,0,0,0,0,0,0,0,12,28,57,43,21,0,161
045-Boyd County                                                                                     ,095-Catlettsburg Elementary School                                                                  ,51,41,48,46,47,54,1,0,0,0,0,0,0,0,288
045-Boyd County                                                                                     ,097-Ponderosa Elementary School                                                                     ,68,78,69,70,83,65,0,0,0,0,0,0,0,0,433
TOTALS for Boyd County                                                                              ,                                                                                                    ,267,283,259,265,259,217,238,259,258,271,286,287,217,2,3368
051-Boyle County                                                                                    ,003-Boyle County Middle School                                                                      ,0,0,0,0,0,0,212,196,217,0,0,0,0,0,625
051-Boyle County                                                                                    ,005-Boyle County High School                                                                        ,0,0,0,0,0,0,0,0,0,227,245,200,253,0,925
051-Boyle County                                                                                    ,040-Junction City Elementary School                                                                 ,55,64,56,65,66,52,0,0,0,0,0,0,0,0,358
051-Boyle County                                                                                    ,050-Woodlawn Elementary School                                                                      ,80,73,94,96,115,97,0,0,0,0,0,0,0,0,555
051-Boyle County                                                                                    ,080-Perryville Elementary School                                                                    ,36,45,42,41,45,40,0,0,0,0,0,0,0,0,249
TOTALS for Boyle County                                                                             ,                                                                                                    ,171,182,192,202,226,189,212,196,217,227,245,200,253,0,2712
055-Bracken County                                                                                  ,010-Bracken County High School                                                                      ,0,0,0,0,0,0,0,0,0,98,85,99,95,2,379
055-Bracken County                                                                                  ,050-Taylor Elementary School                                                                        ,99,103,94,104,91,0,0,0,0,0,0,0,0,0,491
055-Bracken County                                                                                  ,060-Bracken County Middle School                                                                    ,0,0,0,0,0,99,83,93,92,0,0,0,0,0,367
TOTALS for Bracken County                                                                           ,                                                                                                    ,99,103,94,104,91,99,83,93,92,98,85,99,95,2,1237
061-Breathitt County                                                                                ,030-Highland-Turner Elementary School                                                               ,32,30,28,31,22,35,37,31,0,0,0,0,0,0,246
061-Breathitt County                                                                                ,031-BREATHITT CO. JUVENILE DET. CTR.                                                                ,0,0,0,0,0,0,0,2,6,33,36,19,12,0,108
061-Breathitt County                                                                                ,032-Breathitt County Day Treatment Ctr Alt                                                          ,0,1,0,0,1,1,3,0,0,1,1,3,2,0,13
061-Breathitt County                                                                                ,033-CADET LEADERSHIP EDUCATION PROGRAM                                                              ,0,0,0,0,0,0,0,0,0,15,17,5,2,0,39
061-Breathitt County                                                                                ,060-Breathitt County High School                                                                    ,0,0,0,0,0,0,0,0,0,10,202,152,157,2,523
061-Breathitt County                                                                                ,150-L B J Elementary School                                                                         ,70,78,82,61,70,74,76,83,0,0,0,0,0,0,594
061-Breathitt County                                                                                ,185-Marie Roberts-Caney Elementary School                                                           ,48,35,44,39,35,44,40,42,0,0,0,0,0,0,327
061-Breathitt County                                                                                ,270-Rousseau Elementary School                                                                      ,13,17,12,6,9,14,12,13,0,0,0,0,0,0,96
061-Breathitt County                                                                                ,390-Sebastian Middle School                                                                         ,0,0,0,0,0,0,0,0,181,175,0,0,0,0,356
TOTALS for Breathitt County                                                                         ,                                                                                                    ,163,161,166,137,137,168,168,171,187,234,256,179,173,2,2302
065-Breckinridge County                                                                             ,010-Breckinridge County High School                                                                 ,0,0,0,0,0,0,0,0,0,232,219,227,217,0,895
065-Breckinridge County                                                                             ,020-Hardinsburg Elementary School                                                                   ,82,74,100,108,79,86,0,0,0,0,0,0,0,0,529
065-Breckinridge County                                                                             ,030-Ben Johnson Elementary School                                                                   ,33,39,30,24,24,27,0,0,0,0,0,0,0,0,177
065-Breckinridge County                                                                             ,040-Custer Elementary School                                                                        ,28,26,22,39,25,33,0,0,0,0,0,0,0,0,173
065-Breckinridge County                                                                             ,050-Irvington Elementary School                                                                     ,60,65,48,67,70,64,0,0,0,0,0,0,0,0,374
065-Breckinridge County                                                                             ,100-Breckinridge County Middle School                                                               ,0,0,0,0,0,0,182,195,219,0,0,0,0,0,596
TOTALS for Breckinridge County                                                                      ,                                                                                                    ,203,204,200,238,198,210,182,195,219,232,219,227,217,0,2744
071-Bullitt County                                                                                  ,005-Bernheim Middle School                                                                          ,0,0,0,0,0,0,163,148,173,0,0,0,0,0,484
071-Bullitt County                                                                                  ,006-Freedom Elementary School                                                                       ,101,88,88,122,110,113,0,0,0,0,0,0,0,0,622
071-Bullitt County                                                                                  ,007-Zoneton Middle School                                                                           ,0,0,0,0,0,0,192,185,205,0,0,0,0,0,582
071-Bullitt County                                                                                  ,008-SHEPHERDSVILLE ELEMENTARY                                                                       ,78,97,87,99,76,79,0,0,0,0,0,0,0,0,516
071-Bullitt County                                                                                  ,009-Eastside Middle School                                                                          ,0,0,0,0,0,0,180,171,202,0,0,0,0,0,553
071-Bullitt County                                                                                  ,010-Brooks Elementary School                                                                        ,55,53,44,71,55,73,0,0,0,0,0,0,0,0,351
071-Bullitt County                                                                                  ,015-Bullitt Central High School                                                                     ,0,0,0,0,0,0,0,0,1,351,349,316,322,0,1339
071-Bullitt County                                                                                  ,016-Bullitt East High School                                                                        ,0,0,0,0,0,0,0,0,0,325,317,318,279,0,1239
071-Bullitt County                                                                                  ,018-Bullitt Lick Middle School                                                                      ,0,0,0,0,0,0,184,167,141,0,0,0,0,0,492
071-Bullitt County                                                                                  ,020-CEDAR GROVE ELEMENTARY                                                                          ,96,108,95,111,99,91,0,0,0,0,0,0,0,0,600
071-Bullitt County                                                                                  ,025-Hebron Middle School                                                                            ,0,0,0,0,0,0,126,124,134,0,0,0,0,0,384
071-Bullitt County                                                                                  ,030-LEBANON JUNCTION ELEMENTARY                                                                     ,55,52,60,51,65,54,0,0,0,0,0,0,0,0,337
071-Bullitt County                                                                                  ,032-Spring Meadows                                                                                  ,0,0,0,0,0,0,0,0,2,3,4,2,1,0,12
071-Bullitt County                                                                                  ,045-Maryville Elementary School                                                                     ,56,86,75,92,65,83,0,0,0,0,0,0,0,0,457
071-Bullitt County                                                                                  ,050-MT. WASHINGTON MIDDLE SCHOOL                                                                    ,0,0,0,0,0,0,163,162,179,0,0,0,0,0,504
071-Bullitt County                                                                                  ,055-MT. WASHINGTON ELEMENTARY                                                                       ,97,99,109,119,96,109,0,0,0,0,0,0,0,0,629
071-Bullitt County                                                                                  ,065-Pleasant Grove Elementary School                                                                ,107,122,101,124,116,123,0,0,0,0,0,0,0,0,693
071-Bullitt County                                                                                  ,070-NICHOLS ELEMENTARY                                                                              ,20,31,27,20,22,30,0,0,0,0,0,0,0,0,150
071-Bullitt County                                                                                  ,075-North Bullitt High School                                                                       ,0,0,0,0,0,0,0,0,0,437,353,276,215,1,1282
071-Bullitt County                                                                                  ,078-Old Mill Elementary School                                                                      ,87,91,87,88,97,97,0,0,0,0,0,0,0,0,547
071-Bullitt County                                                                                  ,080-Overdale Elementary School                                                                      ,72,92,75,86,81,70,0,0,0,0,0,0,0,0,476
071-Bullitt County                                                                                  ,090-Roby Elementary School                                                                          ,83,86,83,88,68,77,0,0,0,0,0,0,0,0,485
071-Bullitt County                                                                                  ,110-Riverview Opportunity Center                                                                    ,0,0,0,0,0,0,2,4,11,3,12,22,63,0,117
071-Bullitt County                                                                                  ,120-Bullitt County Day Treatment                                                                    ,0,0,0,0,0,0,0,3,7,7,4,1,1,0,23
TOTALS for Bullitt County                                                                           ,                                                                                                    ,907,1005,931,1071,950,999,1010,964,1055,1126,1039,935,881,1,12874
072-Burgin Independent                                                                              ,010-Burgin High School                                                                              ,0,0,0,0,0,0,44,24,39,41,40,30,32,1,251
072-Burgin Independent                                                                              ,020-Burgin Elementary School                                                                        ,35,42,23,32,47,27,0,0,0,0,0,0,0,0,206
TOTALS for Burgin Independent                                                                       ,                                                                                                    ,35,42,23,32,47,27,44,24,39,41,40,30,32,1,457
075-Butler County                                                                                   ,030-Butler County High School                                                                       ,0,0,0,0,0,0,0,0,0,159,163,137,120,1,580
075-Butler County                                                                                   ,031-North Butler Elementary                                                                         ,59,51,60,56,59,62,0,0,0,0,0,0,0,0,347
075-Butler County                                                                                   ,032-Butler County Learning Center                                                                   ,0,0,0,0,0,0,0,0,1,4,4,1,2,0,12
