40757,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 10-11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
TOTALS for Mercer County                                                                            ,                                                                                                    ,227,228,220,224,211,228,255,234,243,237,288,261,236,0,3092
425-Metcalfe County                                                                                 ,010-Metcalfe County Middle School                                                                   ,0,0,0,0,0,0,0,116,122,0,0,0,0,0,238
425-Metcalfe County                                                                                 ,020-Metcalfe 6th Grade Center                                                                       ,0,0,0,0,0,0,112,0,0,0,0,0,0,0,112
425-Metcalfe County                                                                                 ,030-Edmonton Elementary School                                                                      ,90,85,77,84,87,87,0,0,0,0,0,0,0,0,510
425-Metcalfe County                                                                                 ,050-Metcalfe County High School                                                                     ,0,0,0,0,0,0,0,0,0,141,129,124,110,1,505
425-Metcalfe County                                                                                 ,051-Metcalfe Academy High School                                                                    ,0,0,0,0,0,0,0,0,0,1,4,9,19,0,33
425-Metcalfe County                                                                                 ,070-North Metcalfe Elementary School                                                                ,21,22,26,18,20,17,0,0,0,0,0,0,0,0,124
425-Metcalfe County                                                                                 ,090-Summer Shade Elementary School                                                                  ,20,27,18,24,23,19,0,0,0,0,0,0,0,0,131
TOTALS for Metcalfe County                                                                          ,                                                                                                    ,131,134,121,126,130,123,112,116,122,142,133,133,129,1,1653
426-Middlesboro Independent                                                                         ,020-EAST END INTERMEDIATE SCHOOL                                                                    ,0,0,0,0,127,117,0,0,0,0,0,0,0,0,244
426-Middlesboro Independent                                                                         ,023-MIDDLESBORO ALTERNATIVE SCHOOL                                                                  ,0,0,0,0,0,0,0,0,0,0,4,2,2,0,8
426-Middlesboro Independent                                                                         ,030-WEST END PRIMARY SCHOOL                                                                         ,103,108,117,101,0,0,0,0,0,0,0,0,0,0,429
426-Middlesboro Independent                                                                         ,040-Middlesboro Middle School                                                                       ,0,0,0,0,0,0,111,124,130,0,0,0,0,0,365
426-Middlesboro Independent                                                                         ,080-Middlesboro High School                                                                         ,0,0,0,0,0,0,0,0,3,141,133,133,105,0,515
TOTALS for Middlesboro Independent                                                                  ,                                                                                                    ,103,108,117,101,127,117,111,124,133,141,137,135,107,0,1561
