40060,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 08-09,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,
495-Powell County                                                                                   ,010-Bowen Elementary School                                                                         ,46,43,43,43,50,46,0,0,0,0,0,0,0,0,271
495-Powell County                                                                                   ,015-Powell County Middle School                                                                     ,0,0,0,0,0,0,192,209,194,0,0,0,0,0,595
495-Powell County                                                                                   ,020-Clay City Elementary School                                                                     ,81,97,97,95,78,83,0,0,0,0,0,0,0,0,531
495-Powell County                                                                                   ,040-Powell County High School                                                                       ,0,0,0,0,0,0,0,0,0,202,197,178,163,1,741
495-Powell County                                                                                   ,060-Stanton Elementary School                                                                       ,66,63,51,69,58,51,0,0,0,0,0,0,0,0,358
TOTALS for Powell County                                                                            ,                                                                                                    ,193,203,191,207,186,180,192,209,194,202,197,178,163,1,2496
501-Pulaski County                                                                                  ,070-Burnside Elementary School                                                                      ,68,95,91,77,77,81,0,0,0,0,0,0,0,0,489
501-Pulaski County                                                                                  ,071-Pulaski County Day Treatment Ctr Alt Sch                                                        ,0,0,0,0,0,1,0,3,9,24,23,15,8,0,83
501-Pulaski County                                                                                  ,099-Memorial Education Center                                                                       ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
501-Pulaski County                                                                                  ,180-Eubank Elementary School                                                                        ,53,82,68,54,46,49,0,0,0,0,0,0,0,0,352
501-Pulaski County                                                                                  ,280-Nancy Elementary School                                                                         ,57,50,63,54,64,47,0,0,0,0,0,0,0,0,335
501-Pulaski County                                                                                  ,300-Pulaski Central Alternative School                                                              ,0,0,0,0,0,0,0,0,0,24,29,34,31,0,118
501-Pulaski County                                                                                  ,380-Pulaski County High School                                                                      ,0,0,0,0,0,0,0,0,0,339,348,244,248,3,1182
501-Pulaski County                                                                                  ,385-Pulaski Elementary School                                                                       ,130,146,122,139,154,130,0,0,0,0,0,0,0,0,821
501-Pulaski County                                                                                  ,390-Southern Middle School                                                                          ,0,0,0,0,0,0,336,366,324,0,0,0,0,0,1026
501-Pulaski County                                                                                  ,395-Northern Middle School                                                                          ,0,0,0,0,0,0,287,239,281,0,0,0,0,0,807
501-Pulaski County                                                                                  ,400-Southwestern High School                                                                        ,0,0,0,0,0,0,0,0,0,287,317,294,317,3,1218
501-Pulaski County                                                                                  ,420-Oak Hill Elementary School                                                                      ,94,94,94,91,91,71,0,0,0,0,0,0,0,0,535
501-Pulaski County                                                                                  ,440-Shopville Elementary School                                                                     ,65,71,65,69,59,68,0,0,0,0,0,0,0,0,397
501-Pulaski County                                                                                  ,560-Woodstock Elementary School                                                                     ,23,24,18,27,28,21,0,0,0,0,0,0,0,0,141
501-Pulaski County                                                                                  ,570-Southern Elementary School                                                                      ,104,119,124,118,87,98,0,0,0,0,0,0,0,0,650
TOTALS for Pulaski County                                                                           ,                                                                                                    ,602,681,645,629,606,566,623,608,614,674,717,587,604,6,8162
502-Raceland-Worthington Independent                                                                ,010-Campbell Elementary School                                                                      ,96,61,76,77,0,0,0,0,0,0,0,0,0,0,310
502-Raceland-Worthington Independent                                                                ,011-Boyd Regional Juvenile Detention Center                                                         ,0,0,0,0,0,0,0,0,1,15,13,12,6,0,47
502-Raceland-Worthington Independent                                                                ,020-Raceland-Worthington High School                                                                ,0,0,0,0,0,0,0,74,69,81,82,84,79,0,469
502-Raceland-Worthington Independent                                                                ,030-Worthington Elementary School                                                                   ,0,0,0,0,73,63,97,0,0,0,0,0,0,0,233
