8/1/2012,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 11-12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
001-Adair County                                                                                    ,010-Adair County High School                                                                        ,0,0,0,0,0,0,0,0,0,181,199,202,164,1,747
001-Adair County                                                                                    ,012-Adair Youth Development Center                                                                  ,0,0,0,0,0,0,0,1,2,7,21,18,17,0,66
001-Adair County                                                                                    ,013-John Adair Intermediate School                                                                  ,0,0,0,132,118,115,0,0,0,0,0,0,0,0,365
001-Adair County                                                                                    ,014-Adair County Middle School                                                                      ,0,0,0,0,0,0,0,201,204,0,0,0,0,0,405
001-Adair County                                                                                    ,016-Adair County Elementary School                                                                  ,71,70,55,77,67,67,196,0,0,0,0,0,0,0,603
001-Adair County                                                                                    ,095-Colonel William Casey Elementary                                                                ,149,145,125,0,0,0,0,0,0,0,0,0,0,0,419
TOTALS for Adair County                                                                             ,                                                                                                    ,220,215,180,209,185,182,196,202,206,188,220,220,181,1,2605
005-Allen County                                                                                    ,010-Allen County Primary Center                                                                     ,256,227,207,258,0,0,0,0,0,0,0,0,0,0,948
005-Allen County                                                                                    ,015-James E Bazzell Middle School                                                                   ,0,0,0,0,0,0,0,236,235,0,0,0,0,0,471
005-Allen County                                                                                    ,020-Allen County-Scottsville High School                                                            ,0,0,0,0,0,0,0,0,0,231,223,233,220,1,908
005-Allen County                                                                                    ,060-Allen County Intermediate Center                                                                ,0,0,0,0,232,244,272,0,0,0,0,0,0,0,748
TOTALS for Allen County                                                                             ,                                                                                                    ,256,227,207,258,232,244,272,236,235,231,223,233,220,1,3075
006-Anchorage Independent                                                                           ,010-Anchorage Independent Public School                                                             ,43,25,44,41,38,39,42,51,39,0,0,0,0,0,362
TOTALS for Anchorage Independent                                                                    ,                                                                                                    ,43,25,44,41,38,39,42,51,39,0,0,0,0,0,362
011-Anderson County                                                                                 ,020-Anderson County High School                                                                     ,0,0,0,0,0,0,0,0,9,343,328,299,272,1,1252
011-Anderson County                                                                                 ,022-Robert B. Turner Elementary School                                                              ,0,98,111,93,87,81,0,0,0,0,0,0,0,0,470
011-Anderson County                                                                                 ,025-Anderson County Middle School                                                                   ,0,0,0,0,0,0,305,292,279,0,0,0,0,0,876
011-Anderson County                                                                                 ,050-Saffell Street Elementary School                                                                ,0,99,110,89,86,93,0,0,0,0,0,0,0,0,477
011-Anderson County                                                                                 ,110-Emma B. Ward Elementary School                                                                  ,0,97,111,105,66,104,0,0,0,0,0,0,0,0,483
011-Anderson County                                                                                 ,120-Anderson County Early Childhood Center                                                          ,286,0,0,0,0,0,0,0,0,0,0,0,0,0,286
TOTALS for Anderson County                                                                          ,                                                                                                    ,286,294,332,287,239,278,305,292,288,343,328,299,272,1,3844
012-Ashland Independent                                                                             ,010-Paul G. Blazer High School                                                                      ,0,0,0,0,0,0,0,0,0,239,241,231,236,0,947
012-Ashland Independent                                                                             ,011-Ashland Central School                                                                          ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
012-Ashland Independent                                                                             ,050-George M. Verity Middle School                                                                  ,0,0,0,0,0,0,0,251,259,0,0,0,0,0,510
012-Ashland Independent                                                                             ,070-Crabbe Elementary School                                                                        ,83,67,60,57,52,55,50,0,0,0,0,0,0,0,424
012-Ashland Independent                                                                             ,080-Hager Elementary School                                                                         ,50,39,45,49,50,54,43,0,0,0,0,0,0,0,330
012-Ashland Independent                                                                             ,100-Oakview Elementary School                                                                       ,72,43,80,68,57,79,58,0,0,0,0,0,0,0,457
012-Ashland Independent                                                                             ,110-Poage Elementary School                                                                         ,52,49,38,27,35,31,21,0,0,0,0,0,0,0,253
012-Ashland Independent                                                                             ,130-Charles Russell Elementary School                                                               ,68,45,54,39,32,52,42,0,0,0,0,0,0,0,332
TOTALS for Ashland Independent                                                                      ,                                                                                                    ,325,243,277,240,226,271,214,251,262,239,241,231,236,0,3256
013-Augusta Independent                                                                             ,011-Augusta Independent School                                                                      ,21,29,19,24,18,21,20,20,20,26,36,22,28,0,304
TOTALS for Augusta Independent                                                                      ,                                                                                                    ,21,29,19,24,18,21,20,20,20,26,36,22,28,0,304
015-Ballard County                                                                                  ,005-Ballard County Middle School                                                                    ,0,0,0,0,0,0,109,119,107,0,0,0,0,0,335
015-Ballard County                                                                                  ,010-Ballard Memorial High School                                                                    ,0,0,0,0,0,0,0,0,0,125,105,108,102,1,441
015-Ballard County                                                                                  ,050-Ballard County Elementary School                                                                ,87,87,103,106,94,111,0,0,0,0,0,0,0,0,588
TOTALS for Ballard County                                                                           ,                                                                                                    ,87,87,103,106,94,111,109,119,107,125,105,108,102,1,1364
016-Barbourville Independent                                                                        ,011-Barbourville City School                                                                        ,53,48,56,52,59,46,44,65,57,53,48,48,59,0,688
TOTALS for Barbourville Independent                                                                 ,                                                                                                    ,53,48,56,52,59,46,44,65,57,53,48,48,59,0,688
017-Bardstown Independent                                                                           ,010-Bardstown Elementary School                                                                     ,0,0,0,207,203,183,0,0,0,0,0,0,0,0,593
017-Bardstown Independent                                                                           ,012-Bardstown Primary School                                                                        ,234,235,249,0,0,0,0,0,0,0,0,0,0,0,718
017-Bardstown Independent                                                                           ,020-Bardstown High School                                                                           ,0,0,0,0,0,0,0,0,9,192,170,156,145,0,672
017-Bardstown Independent                                                                           ,030-Bardstown Middle School                                                                         ,0,0,0,0,0,0,180,176,188,0,0,0,0,0,544
TOTALS for Bardstown Independent                                                                    ,                                                                                                    ,234,235,249,207,203,183,180,176,197,192,170,156,145,0,2527
021-Barren County                                                                                   ,010-Austin Tracy Elementary School                                                                  ,38,35,45,23,31,27,29,0,0,0,0,0,0,0,228
021-Barren County                                                                                   ,011-Barren County Day Treatment Ctr                                                                 ,0,0,0,0,0,0,0,1,11,14,18,8,10,0,62
021-Barren County                                                                                   ,012-BAVEL                                                                                           ,0,0,0,0,0,0,3,7,6,15,15,13,41,0,100
021-Barren County                                                                                   ,014-North Jackson Elementary                                                                        ,92,80,75,34,50,60,52,0,0,0,0,0,0,0,443
021-Barren County                                                                                   ,027-Barren County High School                                                                       ,0,0,0,0,0,0,0,0,0,334,359,350,328,3,1374
021-Barren County                                                                                   ,035-Eastern Elementary School                                                                       ,36,65,53,43,51,56,56,0,0,0,0,0,0,0,360
021-Barren County                                                                                   ,050-Barren County Middle School                                                                     ,0,0,0,0,0,0,0,330,338,0,0,0,0,0,668
021-Barren County                                                                                   ,080-Hiseville Elementary School                                                                     ,33,44,30,40,37,41,43,0,0,0,0,0,0,0,268
021-Barren County                                                                                   ,130-Park City Elementary School                                                                     ,52,51,45,59,36,51,55,0,0,0,0,0,0,0,349
021-Barren County                                                                                   ,150-Red Cross Elementary School                                                                     ,109,84,100,98,89,87,91,0,0,0,0,0,0,0,658
021-Barren County                                                                                   ,180-Temple Hill Elementary School                                                                   ,56,41,38,40,49,53,50,0,0,0,0,0,0,0,327
TOTALS for Barren County                                                                            ,                                                                                                    ,416,400,386,337,343,375,379,338,355,363,392,371,379,3,4837
025-Bath County                                                                                     ,014-Crossroads Elementary School                                                                    ,89,75,91,66,81,65,0,0,0,0,0,0,0,0,467
025-Bath County                                                                                     ,020-Bath County Middle School                                                                       ,0,0,0,0,0,0,168,163,163,0,0,0,0,0,494
025-Bath County                                                                                     ,030-Owingsville Elementary School                                                                   ,101,103,99,86,60,88,0,0,0,0,0,0,0,0,537
025-Bath County                                                                                     ,040-Bath County High School                                                                         ,0,0,0,0,0,0,0,0,0,158,160,158,140,2,618
TOTALS for Bath County                                                                              ,                                                                                                    ,190,178,190,152,141,153,168,163,163,158,160,158,140,2,2116
026-Beechwood Independent                                                                           ,010-Beechwood Elementary School                                                                     ,79,78,86,81,106,85,98,0,0,0,0,0,0,0,613
026-Beechwood Independent                                                                           ,020-Beechwood High School                                                                           ,0,0,0,0,0,0,0,103,99,93,88,90,99,1,573
TOTALS for Beechwood Independent                                                                    ,                                                                                                    ,79,78,86,81,106,85,98,103,99,93,88,90,99,1,1186
031-Bell County                                                                                     ,012-Bell Central School Center                                                                      ,60,62,52,49,64,71,75,78,70,0,0,0,0,0,581
031-Bell County                                                                                     ,013-Page School Center                                                                              ,52,49,53,52,49,46,51,54,53,0,0,0,0,0,459
031-Bell County                                                                                     ,040-Bell County High School                                                                         ,0,0,0,0,0,0,0,0,0,233,224,206,173,1,837
031-Bell County                                                                                     ,180-Frakes School Center                                                                            ,22,13,21,22,17,10,16,11,20,0,0,0,0,0,152
031-Bell County                                                                                     ,250-Lone Jack School Center                                                                         ,27,22,23,23,24,28,20,22,23,0,0,0,0,0,212
031-Bell County                                                                                     ,340-Recovery/Alt School/Day Treatment                                                               ,0,0,0,0,0,0,0,1,2,11,9,10,2,0,35
031-Bell County                                                                                     ,345-Right Fork School Center                                                                        ,27,21,26,32,20,30,24,27,27,0,0,0,0,0,234
031-Bell County                                                                                     ,390-Yellow Creek School Center                                                                      ,53,64,62,66,51,56,47,61,28,0,0,0,0,0,488
TOTALS for Bell County                                                                              ,                                                                                                    ,241,231,237,244,225,241,233,254,223,244,233,216,175,1,2998
032-Bellevue Independent                                                                            ,010-Bellevue High School                                                                            ,0,0,0,0,0,0,0,64,66,74,52,49,52,0,357
032-Bellevue Independent                                                                            ,020-Grandview Elementary School                                                                     ,69,60,54,55,58,52,56,0,0,0,0,0,0,0,404
TOTALS for Bellevue Independent                                                                     ,                                                                                                    ,69,60,54,55,58,52,56,64,66,74,52,49,52,0,761
034-Berea Independent                                                                               ,010-Berea Community Elementary School                                                               ,97,76,83,77,81,92,0,0,0,0,0,0,0,0,506
034-Berea Independent                                                                               ,015-Berea Community Middle School                                                                   ,0,0,0,0,0,0,93,107,91,0,0,0,0,0,291
034-Berea Independent                                                                               ,020-Berea Community High School                                                                     ,0,0,0,0,0,0,0,0,0,91,80,66,71,1,309
TOTALS for Berea Independent                                                                        ,                                                                                                    ,97,76,83,77,81,92,93,107,91,91,80,66,71,1,1106
035-Boone County                                                                                    ,005-A M Yealey Elementary School                                                                    ,98,99,109,102,109,118,0,0,0,0,0,0,0,0,635
035-Boone County                                                                                    ,006-Erpenbeck Elementary School                                                                     ,113,108,120,108,106,116,0,0,0,0,0,0,0,0,671
035-Boone County                                                                                    ,008-North Pointe Elementary School                                                                  ,169,193,179,211,184,174,0,0,0,0,0,0,0,0,1110
035-Boone County                                                                                    ,010-Camp Ernst Middle School                                                                        ,0,0,0,0,0,0,338,328,324,0,0,0,0,0,990
035-Boone County                                                                                    ,011-Shirley Mann Elementary School                                                                  ,101,116,144,153,144,165,0,0,0,0,0,0,0,0,823
035-Boone County                                                                                    ,015-Randall K. Cooper High School                                                                   ,0,0,0,0,0,0,0,0,0,299,281,269,213,2,1064
035-Boone County                                                                                    ,017-Longbranch Elementary School                                                                    ,122,136,137,137,118,138,0,0,0,0,0,0,0,0,788
035-Boone County                                                                                    ,020-Rector A. Jones Middle School                                                                   ,0,0,0,0,0,0,261,223,235,0,0,0,0,0,719
035-Boone County                                                                                    ,030-Boone County High School                                                                        ,0,0,0,0,0,0,0,0,0,379,367,368,318,0,1432
035-Boone County                                                                                    ,040-Burlington Elementary School                                                                    ,146,161,125,161,149,176,0,0,0,0,0,0,0,0,918
035-Boone County                                                                                    ,041-Charles H. Kelly Elementary School                                                              ,36,37,45,45,39,43,0,0,0,0,0,0,0,0,245
035-Boone County                                                                                    ,043-Conner Middle School                                                                            ,0,0,0,0,0,0,353,370,365,0,0,0,0,0,1088
035-Boone County                                                                                    ,045-Conner High School                                                                              ,0,0,0,0,0,0,0,0,0,318,335,314,258,2,1227
035-Boone County                                                                                    ,050-Florence Elementary School                                                                      ,121,129,108,115,109,121,0,0,0,0,0,0,0,0,703
035-Boone County                                                                                    ,055-Chester Goodridge Elementary School                                                             ,133,133,157,154,134,160,0,0,0,0,0,0,0,0,871
035-Boone County                                                                                    ,065-Hillard Collins Elementary School                                                               ,124,97,100,122,104,99,0,0,0,0,0,0,0,0,646
035-Boone County                                                                                    ,071-Larry A. Ryle High School                                                                       ,0,0,0,0,0,0,0,0,0,476,436,407,343,1,1663
035-Boone County                                                                                    ,075-Gray Middle School                                                                              ,0,0,0,0,0,0,346,364,334,0,0,0,0,0,1044
035-Boone County                                                                                    ,080-New Haven Elementary School                                                                     ,116,124,130,130,126,128,0,0,0,0,0,0,0,0,754
035-Boone County                                                                                    ,081-Ockerman Elementary School                                                                      ,158,114,146,107,163,113,0,0,0,0,0,0,0,0,801
035-Boone County                                                                                    ,083-Stephens Elementary School                                                                      ,111,110,133,129,120,129,0,0,0,0,0,0,0,0,732
035-Boone County                                                                                    ,085-Ockerman Middle School                                                                          ,0,0,0,0,0,0,309,284,325,0,0,0,0,0,918
TOTALS for Boone County                                                                             ,                                                                                                    ,1548,1557,1633,1674,1605,1680,1607,1569,1583,1472,1419,1358,1132,5,19842
041-Bourbon County                                                                                  ,010-BOURBON CENTRAL ELEMENTARY SCHOOL                                                               ,116,93,101,90,101,101,0,0,0,0,0,0,0,0,602
041-Bourbon County                                                                                  ,030-CANE RIDGE ELEMENTARY SCHOOL                                                                    ,72,89,63,78,81,78,0,0,0,0,0,0,0,0,461
041-Bourbon County                                                                                  ,090-NORTH MIDDLETOWN ELEMENTARY SCHOOL                                                              ,32,26,31,23,26,31,0,0,0,0,0,0,0,0,169
041-Bourbon County                                                                                  ,110-Bourbon County High School                                                                      ,0,0,0,0,0,0,0,0,0,239,246,212,184,0,881
041-Bourbon County                                                                                  ,120-Bourbon County Middle School                                                                    ,0,0,0,0,0,0,194,212,210,0,0,0,0,0,616
TOTALS for Bourbon County                                                                           ,                                                                                                    ,220,208,195,191,208,210,194,212,210,239,246,212,184,0,2729
042-Bowling Green Independent                                                                       ,010-Dishman McGinnis Elementary School                                                              ,66,57,58,61,58,55,0,0,0,0,0,0,0,0,355
042-Bowling Green Independent                                                                       ,011-Childrens Crisis Stabilization Uni                                                              ,0,0,0,0,0,1,1,1,3,3,2,2,1,0,14
042-Bowling Green Independent                                                                       ,013-Juvenile Justice                                                                                ,0,0,0,0,0,0,0,0,5,12,23,17,11,0,68
042-Bowling Green Independent                                                                       ,015-Group Effort                                                                                    ,0,0,0,0,0,0,1,0,2,4,2,3,1,0,13
042-Bowling Green Independent                                                                       ,057-Parker-Bennett-Curry School                                                                     ,82,66,71,66,59,67,0,0,0,0,0,0,0,0,411
