School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Total ,A1 ,42 ,0 ,0 ,1 ,43 ,42 ,61 ,52 ,56.5 ,74.3 ,D 
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Total ,A1 ,43 ,0 ,0 ,1 ,44 ,43 ,80 ,67 ,73.5 ,58.5 ,D 
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Total ,A1 ,40 ,0 ,1 ,3 ,44 ,40 ,64 ,60 ,62.0 ,64.5 ,D 
2012 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Female ,Total ,A1 ,22 ,0 ,1 ,1 ,24 ,22 ,32 ,32 ,32.0 ,68.8 ,D 
2011 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Female ,Total ,A1 ,24 ,0 ,0 ,0 ,24 ,24 ,38 ,36 ,37.0 ,64.9 ,D 
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Female ,Total ,A1 ,25 ,0 ,0 ,0 ,25 ,25 ,26 ,25 ,25.5 ,98.0 ,D 
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Female ,Total ,A1 ,17 ,0 ,0 ,0 ,17 ,17 ,24 ,23 ,23.5 ,72.3 ,D 
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Female ,Total ,A1 ,20 ,0 ,0 ,1 ,21 ,20 ,34 ,34 ,34.0 ,58.8 ,D 
2012 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Male ,Total ,A1 ,23 ,0 ,1 ,0 ,24 ,23 ,39 ,31 ,35.0 ,65.7 ,D 
2011 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Male ,Total ,A1 ,26 ,1 ,2 ,2 ,31 ,27 ,41 ,34 ,37.5 ,72.0 ,D 
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Male ,Total ,A1 ,17 ,0 ,0 ,1 ,18 ,17 ,35 ,27 ,31.0 ,54.8 ,D 
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Male ,Total ,A1 ,26 ,0 ,0 ,1 ,27 ,26 ,56 ,44 ,50.0 ,52.0 ,D 
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Male ,Total ,A1 ,20 ,0 ,1 ,2 ,23 ,20 ,30 ,26 ,28.0 ,71.4 ,D 
2012 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,White ,A1 ,33 ,0 ,2 ,0 ,35 ,33 ,56 ,50 ,53.0 ,62.3 ,D 
2011 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,White ,A1 ,44 ,1 ,2 ,2 ,49 ,45 ,65 ,55 ,60.0 ,75.0 ,D 
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,White ,A1 ,34 ,0 ,0 ,1 ,35 ,34 ,51 ,43 ,47.0 ,72.3 ,D 
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,White ,A1 ,37 ,0 ,0 ,1 ,38 ,37 ,70 ,59 ,64.5 ,57.4 ,D 
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,White ,A1 ,29 ,0 ,1 ,2 ,32 ,29 ,53 ,46 ,49.5 ,58.6 ,D 
2012 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Afr. Am. ,A1 ,9 ,0 ,0 ,1 ,10 ,9 ,11 ,9 ,10.0 ,90.0 ,D 
2011 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Afr. Am. ,A1 ,11 ,0 ,0 ,1 ,12 ,11 ,10 ,14 ,12.0 ,91.7 ,D 
2012 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,113030 ,113 ,030 ,Caverna Independent ,Caverna High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Total ,A1 ,520 ,3 ,9 ,12 ,544 ,523 ,703 ,684 ,693.5 ,75.4 ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Total ,A1 ,555 ,8 ,18 ,5 ,586 ,563 ,765 ,662 ,713.5 ,78.9 ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Total ,A1 ,508 ,3 ,13 ,13 ,537 ,511 ,761 ,671 ,716.0 ,71.4 ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Total ,A1 ,472 ,1 ,24 ,15 ,512 ,473 ,692 ,630 ,661.0 ,71.6 ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Total ,A1 ,496 ,6 ,8 ,1 ,511 ,502 ,722 ,663 ,692.5 ,72.5 ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Female ,Total ,A1 ,256 ,1 ,3 ,4 ,264 ,257 ,330 ,322 ,326.0 ,78.8 ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Female ,Total ,A1 ,287 ,1 ,11 ,1 ,300 ,288 ,371 ,326 ,348.5 ,82.6 ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Female ,Total ,A1 ,238 ,0 ,4 ,6 ,248 ,238 ,337 ,308 ,322.5 ,73.8 ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Female ,Total ,A1 ,253 ,0 ,6 ,3 ,262 ,253 ,326 ,314 ,320.0 ,79.1 ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Female ,Total ,A1 ,252 ,2 ,4 ,0 ,258 ,254 ,327 ,327 ,327.0 ,77.7 ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Male ,Total ,A1 ,264 ,2 ,6 ,8 ,280 ,266 ,373 ,362 ,367.5 ,72.4 ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Male ,Total ,A1 ,268 ,7 ,7 ,4 ,286 ,275 ,394 ,336 ,365.0 ,75.3 ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Male ,Total ,A1 ,270 ,3 ,9 ,7 ,289 ,273 ,424 ,363 ,393.5 ,69.4 ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Male ,Total ,A1 ,219 ,1 ,18 ,12 ,250 ,220 ,366 ,316 ,341.0 ,64.5 ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Male ,Total ,A1 ,244 ,4 ,4 ,1 ,253 ,248 ,395 ,336 ,365.5 ,67.9 ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,White ,A1 ,290 ,0 ,6 ,9 ,305 ,290 ,409 ,393 ,401.0 ,72.3 ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,White ,A1 ,331 ,3 ,6 ,2 ,342 ,334 ,436 ,392 ,414.0 ,80.7 ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,White ,A1 ,323 ,0 ,6 ,7 ,336 ,323 ,459 ,411 ,435.0 ,74.3 ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,White ,A1 ,285 ,1 ,8 ,12 ,306 ,286 ,392 ,364 ,378.0 ,75.7 ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,White ,A1 ,313 ,2 ,2 ,0 ,317 ,315 ,424 ,396 ,410.0 ,76.8 ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,205 ,3 ,2 ,1 ,211 ,208 ,261 ,257 ,259.0 ,80.3 ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,198 ,5 ,11 ,3 ,217 ,203 ,296 ,240 ,268.0 ,75.7 ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,161 ,2 ,5 ,6 ,174 ,163 ,263 ,225 ,244.0 ,66.8 ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,162 ,0 ,15 ,3 ,180 ,162 ,263 ,233 ,248.0 ,65.3 ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,152 ,4 ,4 ,1 ,161 ,156 ,260 ,235 ,247.5 ,63.0 ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,13 ,0 ,1 ,2 ,16 ,13 ,13 ,12 ,12.5 ,100.0 ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,13 ,0 ,0 ,0 ,13 ,13 ,13 ,11 ,12.0 ,100.0 ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,8 ,1 ,2 ,0 ,11 ,9 ,15 ,12 ,13.5 ,66.7 ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,12 ,0 ,0 ,0 ,12 ,12 ,16 ,14 ,15.0 ,80.0 ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,12 ,0 ,1 ,0 ,13 ,12 ,15 ,15 ,15.0 ,80.0 ,  
2012 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,115 ,115 ,  ,Christian County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Total ,A1 ,284 ,1 ,4 ,5 ,294 ,285 ,396 ,364 ,380.0 ,75.0 ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Total ,A1 ,301 ,7 ,14 ,1 ,323 ,308 ,428 ,372 ,400.0 ,77.0 ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Total ,A1 ,259 ,1 ,1 ,10 ,271 ,260 ,433 ,372 ,402.5 ,64.6 ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Total ,A1 ,248 ,0 ,17 ,10 ,275 ,248 ,359 ,325 ,342.0 ,72.5 ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Total ,A1 ,254 ,6 ,1 ,0 ,261 ,260 ,370 ,343 ,356.5 ,72.9 ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Female ,Total ,A1 ,142 ,0 ,0 ,3 ,145 ,142 ,197 ,179 ,188.0 ,75.5 ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Female ,Total ,A1 ,155 ,1 ,9 ,1 ,166 ,156 ,202 ,182 ,192.0 ,81.3 ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Female ,Total ,A1 ,125 ,0 ,0 ,4 ,129 ,125 ,198 ,174 ,186.0 ,67.2 ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Female ,Total ,A1 ,133 ,0 ,5 ,2 ,140 ,133 ,178 ,167 ,172.5 ,77.1 ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Female ,Total ,A1 ,133 ,2 ,0 ,0 ,135 ,135 ,170 ,168 ,169.0 ,79.9 ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Male ,Total ,A1 ,142 ,1 ,4 ,2 ,149 ,143 ,199 ,185 ,192.0 ,74.5 ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Male ,Total ,A1 ,146 ,6 ,5 ,0 ,157 ,152 ,226 ,190 ,208.0 ,73.1 ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Male ,Total ,A1 ,134 ,1 ,1 ,6 ,142 ,135 ,235 ,198 ,216.5 ,62.4 ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Male ,Total ,A1 ,115 ,0 ,12 ,8 ,135 ,115 ,181 ,158 ,169.5 ,67.9 ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Male ,Total ,A1 ,121 ,4 ,1 ,0 ,126 ,125 ,200 ,175 ,187.5 ,66.7 ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,White ,A1 ,155 ,0 ,4 ,3 ,162 ,155 ,227 ,213 ,220.0 ,70.5 ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,White ,A1 ,173 ,2 ,5 ,0 ,180 ,175 ,241 ,214 ,227.5 ,76.9 ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,White ,A1 ,169 ,0 ,1 ,5 ,175 ,169 ,270 ,242 ,256.0 ,66.0 ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,White ,A1 ,150 ,0 ,6 ,8 ,164 ,150 ,202 ,191 ,196.5 ,76.3 ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,White ,A1 ,163 ,2 ,0 ,0 ,165 ,165 ,218 ,199 ,208.5 ,79.1 ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Afr. Am. ,A1 ,120 ,1 ,0 ,1 ,122 ,121 ,155 ,138 ,146.5 ,82.6 ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Afr. Am. ,A1 ,118 ,5 ,9 ,1 ,133 ,123 ,175 ,147 ,161.0 ,76.4 ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Afr. Am. ,A1 ,84 ,0 ,0 ,5 ,89 ,84 ,148 ,118 ,133.0 ,63.2 ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Afr. Am. ,A1 ,92 ,0 ,10 ,2 ,104 ,92 ,145 ,126 ,135.5 ,67.9 ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Afr. Am. ,A1 ,81 ,4 ,1 ,0 ,86 ,85 ,137 ,131 ,134.0 ,63.4 ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,115030 ,115 ,030 ,Christian County ,Christian County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Total ,A1 ,236 ,0 ,5 ,5 ,246 ,236 ,291 ,290 ,290.5 ,81.2 ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Total ,A1 ,243 ,0 ,3 ,3 ,249 ,243 ,316 ,275 ,295.5 ,82.2 ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Total ,A1 ,199 ,0 ,1 ,2 ,202 ,199 ,301 ,278 ,289.5 ,68.7 ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Total ,A1 ,224 ,1 ,7 ,4 ,236 ,225 ,315 ,283 ,299.0 ,75.3 ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Total ,A1 ,235 ,0 ,7 ,1 ,243 ,235 ,324 ,299 ,311.5 ,75.4 ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Female ,Total ,A1 ,114 ,0 ,3 ,1 ,118 ,114 ,129 ,131 ,130.0 ,87.7 ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Female ,Total ,A1 ,127 ,0 ,2 ,0 ,129 ,127 ,160 ,141 ,150.5 ,84.4 ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Female ,Total ,A1 ,91 ,0 ,0 ,2 ,93 ,91 ,132 ,126 ,129.0 ,70.5 ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Female ,Total ,A1 ,120 ,0 ,1 ,1 ,122 ,120 ,143 ,141 ,142.0 ,84.5 ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Female ,Total ,A1 ,118 ,0 ,4 ,0 ,122 ,118 ,153 ,149 ,151.0 ,78.2 ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Male ,Total ,A1 ,122 ,0 ,2 ,4 ,128 ,122 ,162 ,159 ,160.5 ,76.0 ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Male ,Total ,A1 ,116 ,0 ,1 ,3 ,120 ,116 ,156 ,134 ,145.0 ,80.0 ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Male ,Total ,A1 ,108 ,0 ,1 ,0 ,109 ,108 ,169 ,152 ,160.5 ,67.3 ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Male ,Total ,A1 ,104 ,1 ,6 ,3 ,114 ,105 ,172 ,142 ,157.0 ,66.9 ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Male ,Total ,A1 ,117 ,0 ,3 ,1 ,121 ,117 ,171 ,150 ,160.5 ,72.9 ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,White ,A1 ,135 ,0 ,2 ,4 ,141 ,135 ,172 ,164 ,168.0 ,80.4 ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,White ,A1 ,153 ,0 ,1 ,1 ,155 ,153 ,179 ,170 ,174.5 ,87.7 ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,White ,A1 ,128 ,0 ,0 ,2 ,130 ,128 ,178 ,155 ,166.5 ,76.9 ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,White ,A1 ,135 ,1 ,2 ,3 ,141 ,136 ,182 ,161 ,171.5 ,79.3 ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,White ,A1 ,147 ,0 ,2 ,0 ,149 ,147 ,191 ,182 ,186.5 ,78.8 ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Afr. Am. ,A1 ,85 ,0 ,2 ,0 ,87 ,85 ,101 ,105 ,103.0 ,82.5 ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Afr. Am. ,A1 ,77 ,0 ,2 ,2 ,81 ,77 ,118 ,87 ,102.5 ,75.1 ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Afr. Am. ,A1 ,56 ,0 ,0 ,0 ,56 ,56 ,102 ,101 ,101.5 ,55.2 ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Afr. Am. ,A1 ,70 ,0 ,5 ,1 ,76 ,70 ,109 ,97 ,103.0 ,68.0 ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Afr. Am. ,A1 ,69 ,0 ,3 ,1 ,73 ,69 ,111 ,99 ,105.0 ,65.7 ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Hispanic ,A1 ,9 ,0 ,1 ,1 ,11 ,9 ,8 ,7 ,7.5 ,100.0 ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Hispanic ,A1 ,10 ,0 ,0 ,0 ,10 ,10 ,9 ,11 ,10.0 ,100.0 ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,115050 ,115 ,050 ,Christian County ,Hopkinsville High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Total ,Total ,A1 ,388 ,0 ,4 ,1 ,393 ,388 ,485 ,479 ,482.0 ,80.5 ,  
2011 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Total ,Total ,A1 ,351 ,0 ,3 ,5 ,359 ,351 ,513 ,446 ,479.5 ,73.2 ,  
2010 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Total ,Total ,A1 ,340 ,0 ,3 ,6 ,349 ,340 ,507 ,411 ,459.0 ,74.1 ,  
2009 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Total ,Total ,A1 ,338 ,0 ,7 ,8 ,353 ,338 ,511 ,423 ,467.0 ,72.4 ,  
2008 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Total ,Total ,A1 ,302 ,2 ,1 ,17 ,322 ,304 ,426 ,429 ,427.5 ,71.1 ,  
2012 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Female ,Total ,A1 ,186 ,0 ,1 ,1 ,188 ,186 ,221 ,221 ,221.0 ,84.2 ,  
2011 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Female ,Total ,A1 ,165 ,0 ,0 ,3 ,168 ,165 ,220 ,207 ,213.5 ,77.3 ,  
2010 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Female ,Total ,A1 ,177 ,0 ,1 ,1 ,179 ,177 ,244 ,219 ,231.5 ,76.5 ,  
2009 ,121 ,121 ,  ,Clark County ,DISTRICT TOTAL ,Female ,Total ,A1 ,162 ,0 ,4 ,2 ,168 ,162 ,234 ,207 ,220.5 ,73.5 ,  
