"","Year","Gr.8.Cohort.National","Gr.8.Cohort.KY"
"1",2002,0.781414098428897,0.759459459459459
"2",2003,0.788466750628476,0.780287855948128
"3",2004,0.788490594773486,0.784645878458458
"4",2005,0.773164328835595,0.81773325676854
"5",2006,0.775241461691415,0.799014999795643
"6",2007,0.782217406413003,0.783864025823935
"7",2008,0.787494069891403,0.817849605252873
"8",2009,0.817294522410956,0.841482416520384
